Latitude,Longitude,Signal_Strength,NW_provider
72.84483,20.434236,94,0
77.962599,12.393564,53,2
67.218522,10.673943,2,1
81.230131,30.907687,20,1
83.712903,17.444229,72,1
80.981405,10.193428,21,0
68.820415,8.962406,95,3
68.775303,18.003446,61,0
74.666924,18.11991,7,0
77.585284,11.766844,36,1
80.921232,19.165687,8,1
81.238134,14.551135,92,0
67.779956,30.508103,91,3
84.927952,16.231562,70,2
68.67053,24.716897,79,0
77.896051,12.747278,30,3
79.0107,9.739682,43,3
69.964941,16.793784,54,2
73.587836,29.258324,53,1
73.258034,9.842933,43,2
79.596155,26.963736,72,1
74.935697,15.048207,1,3
76.585099,31.302709,54,1
76.27022,27.647516,84,3
75.27572,13.425059,32,0
83.465292,22.683306,12,2
86.084731,29.916805,52,1
70.729187,33.846855,55,2
83.253315,33.283219,50,3
85.95716,21.769219,16,0
82.449301,10.038077,5,1
85.207118,32.503903,19,1
75.152921,12.390156,13,3
83.423623,30.238029,30,1
67.045049,24.005019,55,3
74.548868,23.832379,61,2
68.163292,30.772194,47,3
81.771144,18.392311,84,0
86.691812,12.305265,32,1
86.299449,26.816438,11,0
81.267301,10.130609,80,2
76.974691,20.855167,5,3
73.659442,24.825194,100,1
77.796146,28.863115,60,3
82.263802,13.478214,59,1
72.033241,11.003364,96,3
82.314056,28.417508,13,0
75.866801,22.453955,83,2
81.86416,25.657436,76,0
80.332961,18.074802,16,1
78.665081,26.282242,90,1
70.681878,27.890321,63,2
69.813437,12.483548,34,2
67.016809,23.857798,3,1
78.973935,22.699855,34,1
68.359005,22.961819,80,2
81.076634,24.490161,35,1
70.882032,20.401299,44,1
83.428584,33.351469,94,3
68.376672,25.384127,42,3
75.958245,22.94826,82,1
86.577941,22.145982,79,1
86.738644,23.443655,40,1
82.149398,12.69427,88,3
67.912245,20.990709,33,0
83.199254,8.808891,20,3
71.506713,18.69598,10,3
71.857787,26.194967,62,3
80.021135,12.783042,93,0
82.889225,15.475625,50,2
85.331934,32.965887,52,0
70.336655,15.453349,82,2
86.186887,22.753676,90,3
67.37188,12.299513,57,0
79.579131,19.275888,53,0
71.626746,21.396209,0,1
72.458733,10.902204,14,1
67.87061,12.278852,2,0
71.184719,14.517974,37,2
85.969059,14.500649,5,0
67.507393,19.138455,81,1
84.828871,32.763243,34,0
74.90918,10.596427,48,1
70.319691,10.810838,30,3
86.488458,12.137872,23,2
75.484305,29.724017,92,3
80.422799,22.487198,40,3
69.265414,15.931114,42,3
83.105308,21.90911,4,0
68.318738,9.821736,75,1
